user_id,first_name,last_name,email,account_created,national_id,internal_notes,city,country,ID,amount,timestamp,payment_method,is_fraud
CUST0000,kabelo,dlamini,k****************@example.co.za,20/02/2023 13:11:00,332XXXXXXXXXXXXXXXXX,note_0,Port Elizabeth,South Africa,TXN00023,958.7,30/04/2025 04:01:00,card,0
CUST0000,kabelo,dlamini,k****************@example.co.za,20/02/2023 13:11:00,332XXXXXXXXXXXXXXXXX,note_0,Port Elizabeth,South Africa,TXN00069,7238.32,17/03/2025 17:25:00,mobile_payment,1
CUST0000,kabelo,dlamini,k****************@example.co.za,20/02/2023 13:11:00,332XXXXXXXXXXXXXXXXX,note_0,Port Elizabeth,South Africa,TXN00097,9780.55,25/11/2023 15:28:00,mobile_payment,0
CUST0000,kabelo,dlamini,k****************@example.co.za,20/02/2023 13:11:00,332XXXXXXXXXXXXXXXXX,note_0,Port Elizabeth,South Africa,TXN00122,6214.49,29/12/2024 12:14:00,bank_transfer,0
CUST0000,kabelo,dlamini,k****************@example.co.za,20/02/2023 13:11:00,332XXXXXXXXXXXXXXXXX,note_0,Port Elizabeth,South Africa,TXN00186,1845.14,16/04/2024 01:51:00,bank_transfer,0
CUST0001,sipho,ngcobo,s**************@example.co.za,22/12/2024 00:25:00,542XXXXXXXXXXXXXXXXX,note_1,Polokwane,South Africa,TXN00062,3215.85,15/10/2023 02:24:00,mobile_payment,0
CUST0001,sipho,ngcobo,s**************@example.co.za,22/12/2024 00:25:00,542XXXXXXXXXXXXXXXXX,note_1,Polokwane,South Africa,TXN00126,9465.3,16/08/2024 19:01:00,bank_transfer,0
CUST0001,sipho,ngcobo,s**************@example.co.za,22/12/2024 00:25:00,542XXXXXXXXXXXXXXXXX,note_1,Polokwane,South Africa,TXN00138,4011.49,18/10/2023 21:12:00,cash,0
CUST0001,sipho,ngcobo,s**************@example.co.za,22/12/2024 00:25:00,542XXXXXXXXXXXXXXXXX,note_1,Polokwane,South Africa,TXN00141,7878.61,25/02/2025 15:40:00,cash,0
CUST0001,sipho,ngcobo,s**************@example.co.za,22/12/2024 00:25:00,542XXXXXXXXXXXXXXXXX,note_1,Polokwane,South Africa,TXN00158,9985.94,24/02/2024 05:20:00,mobile_payment,0
CUST0002,bongani,motsepe,b*****************@example.co.za,29/06/2020 01:40:00,034XXXXXXXXXXXXXXXXX,note_2,Cape Town,South Africa,TXN00012,6889.48,18/06/2023 22:20:00,bank_transfer,0
CUST0002,bongani,motsepe,b*****************@example.co.za,29/06/2020 01:40:00,034XXXXXXXXXXXXXXXXX,note_2,Cape Town,South Africa,TXN00021,6000.46,10/02/2024 16:14:00,mobile_payment,0
CUST0002,bongani,motsepe,b*****************@example.co.za,29/06/2020 01:40:00,034XXXXXXXXXXXXXXXXX,note_2,Cape Town,South Africa,TXN00071,4721.43,06/04/2025 07:54:00,bank_transfer,0
CUST0002,bongani,motsepe,b*****************@example.co.za,29/06/2020 01:40:00,034XXXXXXXXXXXXXXXXX,note_2,Cape Town,South Africa,TXN00091,4445.21,12/09/2023 15:32:00,bank_transfer,0
CUST0002,bongani,motsepe,b*****************@example.co.za,29/06/2020 01:40:00,034XXXXXXXXXXXXXXXXX,note_2,Cape Town,South Africa,TXN00107,9100.8,26/02/2025 12:33:00,bank_transfer,0
CUST0002,bongani,motsepe,b*****************@example.co.za,29/06/2020 01:40:00,034XXXXXXXXXXXXXXXXX,note_2,Cape Town,South Africa,TXN00117,7917.29,22/11/2024 07:16:00,card,0
CUST0002,bongani,motsepe,b*****************@example.co.za,29/06/2020 01:40:00,034XXXXXXXXXXXXXXXXX,note_2,Cape Town,South Africa,TXN00140,6644.55,28/09/2023 22:18:00,card,1
CUST0002,bongani,motsepe,b*****************@example.co.za,29/06/2020 01:40:00,034XXXXXXXXXXXXXXXXX,note_2,Cape Town,South Africa,TXN00143,8306.69,05/05/2024 04:23:00,cash,0
CUST0002,bongani,motsepe,b*****************@example.co.za,29/06/2020 01:40:00,034XXXXXXXXXXXXXXXXX,note_2,Cape Town,South Africa,TXN00162,1305.61,06/10/2023 05:19:00,bank_transfer,0
CUST0002,bongani,motsepe,b*****************@example.co.za,29/06/2020 01:40:00,034XXXXXXXXXXXXXXXXX,note_2,Cape Town,South Africa,TXN00172,957.69,05/12/2023 11:43:00,card,0
CUST0002,bongani,motsepe,b*****************@example.co.za,29/06/2020 01:40:00,034XXXXXXXXXXXXXXXXX,note_2,Cape Town,South Africa,TXN00173,4347.17,27/06/2023 12:46:00,bank_transfer,0
CUST0002,bongani,motsepe,b*****************@example.co.za,29/06/2020 01:40:00,034XXXXXXXXXXXXXXXXX,note_2,Cape Town,South Africa,TXN00189,1461.65,11/08/2023 18:10:00,card,0
CUST0002,bongani,motsepe,b*****************@example.co.za,29/06/2020 01:40:00,034XXXXXXXXXXXXXXXXX,note_2,Cape Town,South Africa,TXN00190,7473.81,27/02/2025 16:16:00,cash,0
CUST0003,themba,mahlangu,t*****************@example.co.za,15/11/2021 13:36:00,030XXXXXXXXXXXXXXXXX,note_3,Bloemfontein,South Africa,TXN00005,7639.23,19/03/2024 15:02:00,cash,0
CUST0003,themba,mahlangu,t*****************@example.co.za,15/11/2021 13:36:00,030XXXXXXXXXXXXXXXXX,note_3,Bloemfontein,South Africa,TXN00043,337.25,02/08/2024 03:51:00,cash,0
CUST0003,themba,mahlangu,t*****************@example.co.za,15/11/2021 13:36:00,030XXXXXXXXXXXXXXXXX,note_3,Bloemfontein,South Africa,TXN00047,1218.79,17/07/2024 12:15:00,cash,0
CUST0003,themba,mahlangu,t*****************@example.co.za,15/11/2021 13:36:00,030XXXXXXXXXXXXXXXXX,note_3,Bloemfontein,South Africa,TXN00068,5283.21,12/04/2025 21:35:00,mobile_payment,0
CUST0003,themba,mahlangu,t*****************@example.co.za,15/11/2021 13:36:00,030XXXXXXXXXXXXXXXXX,note_3,Bloemfontein,South Africa,TXN00075,3200.78,16/11/2023 01:14:00,mobile_payment,0
CUST0003,themba,mahlangu,t*****************@example.co.za,15/11/2021 13:36:00,030XXXXXXXXXXXXXXXXX,note_3,Bloemfontein,South Africa,TXN00079,7615.68,29/01/2025 11:55:00,card,0
CUST0003,themba,mahlangu,t*****************@example.co.za,15/11/2021 13:36:00,030XXXXXXXXXXXXXXXXX,note_3,Bloemfontein,South Africa,TXN00095,2410.2,23/07/2024 14:32:00,bank_transfer,0
CUST0003,themba,mahlangu,t*****************@example.co.za,15/11/2021 13:36:00,030XXXXXXXXXXXXXXXXX,note_3,Bloemfontein,South Africa,TXN00112,8074.56,22/11/2023 14:30:00,bank_transfer,1
CUST0003,themba,mahlangu,t*****************@example.co.za,15/11/2021 13:36:00,030XXXXXXXXXXXXXXXXX,note_3,Bloemfontein,South Africa,TXN00116,8465.16,12/09/2024 23:04:00,bank_transfer,0
CUST0003,themba,mahlangu,t*****************@example.co.za,15/11/2021 13:36:00,030XXXXXXXXXXXXXXXXX,note_3,Bloemfontein,South Africa,TXN00121,6764.62,28/08/2023 13:17:00,mobile_payment,0
CUST0003,themba,mahlangu,t*****************@example.co.za,15/11/2021 13:36:00,030XXXXXXXXXXXXXXXXX,note_3,Bloemfontein,South Africa,TXN00133,9517.64,17/07/2023 02:29:00,card,0
CUST0003,themba,mahlangu,t*****************@example.co.za,15/11/2021 13:36:00,030XXXXXXXXXXXXXXXXX,note_3,Bloemfontein,South Africa,TXN00136,9810.23,14/03/2024 20:58:00,bank_transfer,0
CUST0003,themba,mahlangu,t*****************@example.co.za,15/11/2021 13:36:00,030XXXXXXXXXXXXXXXXX,note_3,Bloemfontein,South Africa,TXN00139,1265.49,10/11/2024 09:30:00,mobile_payment,1
CUST0003,themba,mahlangu,t*****************@example.co.za,15/11/2021 13:36:00,030XXXXXXXXXXXXXXXXX,note_3,Bloemfontein,South Africa,TXN00148,6627.52,16/06/2024 11:36:00,card,0
CUST0003,themba,mahlangu,t*****************@example.co.za,15/11/2021 13:36:00,030XXXXXXXXXXXXXXXXX,note_3,Bloemfontein,South Africa,TXN00165,7941.31,23/09/2023 12:14:00,card,0
CUST0003,themba,mahlangu,t*****************@example.co.za,15/11/2021 13:36:00,030XXXXXXXXXXXXXXXXX,note_3,Bloemfontein,South Africa,TXN00179,2911.91,02/05/2024 11:08:00,bank_transfer,0
CUST0003,themba,mahlangu,t*****************@example.co.za,15/11/2021 13:36:00,030XXXXXXXXXXXXXXXXX,note_3,Bloemfontein,South Africa,TXN00183,7637.93,08/09/2024 16:27:00,cash,0
CUST0003,themba,mahlangu,t*****************@example.co.za,15/11/2021 13:36:00,030XXXXXXXXXXXXXXXXX,note_3,Bloemfontein,South Africa,TXN00005,7639.23,19/03/2024 15:02:00,cash,0
CUST0004,zanele,sithole,z****************@example.co.za,12/05/2021 23:47:00,871XXXXXXXXXXXXXXXXX,note_4,Durban,South Africa,TXN00109,7875.8,03/01/2024 00:47:00,bank_transfer,0
CUST0004,zanele,sithole,z****************@example.co.za,12/05/2021 23:47:00,871XXXXXXXXXXXXXXXXX,note_4,Durban,South Africa,TXN00114,7553.81,20/07/2024 08:12:00,cash,0
CUST0004,zanele,sithole,z****************@example.co.za,12/05/2021 23:47:00,871XXXXXXXXXXXXXXXXX,note_4,Durban,South Africa,TXN00142,7880.43,14/01/2025 12:34:00,cash,0
CUST0004,zanele,sithole,z****************@example.co.za,12/05/2021 23:47:00,871XXXXXXXXXXXXXXXXX,note_4,Durban,South Africa,TXN00147,5425.14,30/12/2023 23:12:00,cash,0
CUST0004,zanele,sithole,z****************@example.co.za,12/05/2021 23:47:00,871XXXXXXXXXXXXXXXXX,note_4,Durban,South Africa,TXN00149,197.86,14/11/2024 08:02:00,cash,0
CUST0004,zanele,sithole,z****************@example.co.za,12/05/2021 23:47:00,871XXXXXXXXXXXXXXXXX,note_4,Durban,South Africa,TXN00181,6584.53,09/02/2025 08:19:00,cash,0
CUST0005,mpho,ntuli,m************@example.co.za,01/09/2023 12:33:00,048XXXXXXXXXXXXXXXXX,note_5,Nelspruit,South Africa,TXN00008,76.62,30/07/2024 23:01:00,mobile_payment,0
CUST0005,mpho,ntuli,m************@example.co.za,01/09/2023 12:33:00,048XXXXXXXXXXXXXXXXX,note_5,Nelspruit,South Africa,TXN00017,7936.65,02/03/2025 02:48:00,bank_transfer,0
CUST0005,mpho,ntuli,m************@example.co.za,01/09/2023 12:33:00,048XXXXXXXXXXXXXXXXX,note_5,Nelspruit,South Africa,TXN00085,1791.94,18/06/2023 22:00:00,mobile_payment,0
CUST0005,mpho,ntuli,m************@example.co.za,01/09/2023 12:33:00,048XXXXXXXXXXXXXXXXX,note_5,Nelspruit,South Africa,TXN00188,8705.13,07/08/2023 20:31:00,mobile_payment,0
CUST0005,mpho,ntuli,m************@example.co.za,01/09/2023 12:33:00,048XXXXXXXXXXXXXXXXX,note_5,Nelspruit,South Africa,TXN00192,3732.03,22/01/2024 02:57:00,bank_transfer,0
CUST0006,mpho,mahlangu,m***************@example.co.za,10/11/2024 21:36:00,911XXXXXXXXXXXXXXXXX,note_6,Pretoria,South Africa,TXN00094,9993.77,08/09/2024 06:19:00,mobile_payment,0
CUST0007,lebohang,gumede,l*****************@example.co.za,,315XXXXXXXXXXXXXXXXX,,Pretoria,South Africa,TXN00007,1779.44,26/12/2023 12:48:00,card,0
CUST0007,lebohang,gumede,l*****************@example.co.za,,315XXXXXXXXXXXXXXXXX,,Pretoria,South Africa,TXN00051,-2000.0,04/08/2024 06:49:00,cash,0
CUST0007,lebohang,gumede,l*****************@example.co.za,,315XXXXXXXXXXXXXXXXX,,Pretoria,South Africa,TXN00061,8567.33,08/11/2024 20:20:00,mobile_payment,0
CUST0007,lebohang,gumede,l*****************@example.co.za,,315XXXXXXXXXXXXXXXXX,,Pretoria,South Africa,TXN00077,6330.05,30/07/2024 06:15:00,bank_transfer,0
CUST0007,lebohang,gumede,l*****************@example.co.za,,315XXXXXXXXXXXXXXXXX,,Pretoria,South Africa,TXN00078,7480.33,24/11/2024 21:17:00,mobile_payment,0
CUST0007,lebohang,gumede,l*****************@example.co.za,,315XXXXXXXXXXXXXXXXX,,Pretoria,South Africa,TXN00102,6384.35,06/02/2025 12:54:00,bank_transfer,0
CUST0008,nokuthula,motsepe,n*******************@example.co.za,25/10/2024 09:26:00,763XXXXXXXXXXXXXXXXX,note_8,Pretoria,South Africa,TXN00006,6621.26,26/05/2023 02:21:00,cash,0
